DOI,Title,Publication Name,Cover Date
doi:10.1016/S1387-1811(00)00255-9,"The role of zeolite type on the lean NO
                  x
                reduction by methane over Pd loaded pentasil zeolites ",Microporous and Mesoporous Materials,2000/11/30
doi:10.1016/j.jhazmat.2020.122536,"Insights into modified red mud for the selective catalytic reduction of NO
                  x
               : Activation mechanism of targeted leaching ",Journal of Hazardous Materials,2020/7/15
doi:10.1016/j.cej.2021.129065,Selective oxidation of NH3 in a Pt/Al2O3@Cu/ZSM-5 core-shell catalyst: Modeling and optimization ,Chemical Engineering Journal,2021/8/15
doi:10.1016/j.clay.2022.106701,One-pot alkaline carbonization hydrothermal synthesis of halloysite nanotubes with amino groups over Pd@CeO2/halloysite to enhance catalysis of three-way reactions ,Applied Clay Science,2022/11/15
doi:10.1016/j.jcat.2006.12.018,Molecular/electronic structure–surface acidity relationships of model-supported tungsten oxide catalysts ,Journal of Catalysis,2007/3/10
doi:10.1016/j.fuel.2010.11.043,"Study of the effect of newly developed mercury oxidation catalysts on the DeNO
                  x
               -activity and SO2–SO3-conversion ",Fuel,2012/11/30
doi:10.1016/j.cej.2016.04.017,Elemental mercury removal by CeO2/TiO2-PILCs under simulated coal-fired flue gas ,Chemical Engineering Journal,2016/9/15
doi:10.1016/j.apcata.2013.06.006,Tailored copper nanoparticles in ordered mesoporous KIT-6 silica: Preparation and application as catalysts in integrated system for NO removal with products of methanol decomposition ,Applied Catalysis A: General,2013/8/15
doi:10.1016/j.fuproc.2016.06.010,The effects of oxygen and metal oxide catalysts on the reduction reaction of NO with lignite char during combustion flue gas cleaning ,Fuel Processing Technology,2016/11/30
doi:10.1016/j.apsusc.2014.11.056,High performance of NO oxidation over Ce–Co–Ti catalyst: The interaction between Ce and Co ,Applied Surface Science,2015/1/15
doi:10.1016/j.jece.2022.109016,Boosting the low-temperature activity of Cu-SSZ-13 for NH3-SCR by mixing MnCeTiOx: The effect of nitrates on Cu redox cycle ,Journal of Environmental Chemical Engineering,2022/12/31
doi:10.1016/j.apcatb.2012.01.001,Fe–Ti spinel for the selective catalytic reduction of NO with NH3: Mechanism and structure–activity relationship ,Applied Catalysis B: Environmental,2012/5/18
doi:10.1016/S0920-5861(01)00308-X,Selective catalytic reduction of nitric oxide over Cu and Co ion-exchanged ZSM-5 zeolite: the effect of SiO2/Al2O3 ratio and cation loading ,Catalysis Today,2001/7/1
doi:10.1016/j.apsusc.2019.144906,Reaction properties of ruthenium over Ru/TiO2 for selective catalytic oxidation of ammonia to nitrogen ,Applied Surface Science,2020/3/15
doi:10.1016/j.apsusc.2021.151977,Mechanism investigation of three-dimensional porous A-site substituted La1-xCoxFeO3 catalysts for simultaneous oxidation of NO and toluene with H2O ,Applied Surface Science,2022/3/15
doi:10.1016/j.jre.2017.10.002,"Low temperature catalytic oxidation of NO over different-shaped CeO2
             ",Journal of Rare Earths,2018/6/30
doi:10.1016/j.jes.2015.06.010,"Activity and hydrothermal stability of CeO2–ZrO2–WO3 for the selective catalytic reduction of NO
                  x
                with NH3
             ",Journal of Environmental Sciences,2016/4/30
doi:10.1016/j.apcatb.2012.04.012,"Low-temperature selective catalytic reduction of NO
                  x
                with NH3 over Mn-containing catalysts ",Applied Catalysis B: Environmental,2012/7/23
doi:10.1016/j.applthermaleng.2015.10.046,Influence of air and EGR dilutions on improving performance of a high compression ratio spark-ignition engine fueled with methanol at light load ,Applied Thermal Engineering,2016/2/5
doi:10.1016/j.cej.2017.02.024,"Effect of Pr/Ce addition on the catalytic performance and SO2 resistance of highly dispersed MnO
                  x
               /SAPO-34 catalyst for NH3-SCR at low temperature ",Chemical Engineering Journal,2017/5/15
doi:10.1016/j.apcata.2008.12.037,"The influence of the preparation method on the structural, acidic and redox properties of V2O5-TiO2/SO4
               2− catalysts ",Applied Catalysis A: General,2009/3/15
doi:10.1016/j.catcom.2009.04.003,Effect of SO2 on V2O5/ACF catalysts for NO reduction with NH3 at low temperature ,Catalysis Communications,2009/6/10
doi:10.1016/S0926-860X(02)00652-X,"CoO
                  x
                catalysts supported on alumina and alumina-baria: influence of the support on the cobalt species and their activity in NO reduction by C3H6 in lean conditions ",Applied Catalysis A: General,2003/5/30
doi:10.1016/S1872-2067(18)63099-2,"Ho-modified Mn-Ce/TiO2 for low-temperature SCR of NO
                  x
                with NH3: Evaluation and characterization ",Chinese Journal of Catalysis,2018/10/31
doi:10.1016/j.molcata.2009.08.022,"Experimental and theoretical characterization of NO
                  x
                species on Ag/α-Al2O3
             ",Journal of Molecular Catalysis A: Chemical,2009/12/31
doi:10.1016/j.apcata.2018.12.020,In-situ DRIFTS study of CeO2 supported Rh catalysts for N2O decomposition ,Applied Catalysis A: General,2019/2/5
doi:10.1016/j.cej.2017.06.019,"Selective catalytic reduction of NO
                  x
                by CO over bimetallic transition metals supported by multi-walled carbon nanotubes (MWCNT) ",Chemical Engineering Journal,2017/10/15
doi:10.1016/j.cattod.2007.11.059,"Influence of ceria on the NO
                  x
                storage/reduction behavior of lean NO
                  x
                trap catalysts ",Catalysis Today,2008/7/15
doi:10.1016/j.mcat.2020.111095,"Catalytic ozonation of NO
                  x
                into HNO3 with low concentration ozone over MnO
                  x
               -CeO2/TiO2: Two-phase synergistic effect of TiO2
             ",Molecular Catalysis,2020/9/30
doi:10.1016/j.apcatb.2008.11.021,"The effect of sulphation on the catalytic activity of CoO
                  x
               /ZrO2 for NO reduction with NH3 in the presence of O2
             ",Applied Catalysis B: Environmental,2009/7/3
doi:10.1016/S0926-3373(01)00173-4,Enhancement of activities by sulfation on Fe-exchanged TiO2-pillared clay for selective catalytic reduction of NO by ammonia ,Applied Catalysis B: Environmental,2001/9/28
doi:10.1016/j.apcata.2007.05.024,Manganese oxide catalysts for NOx reduction with NH3 at low temperatures ,Applied Catalysis A: General,2007/8/15
doi:10.1016/j.jcat.2022.11.003,Elucidating the sensitivity of vanadyl species to water over V2O5/TiO2 catalysts for NOx abatement via operando Raman spectroscopy ,Journal of Catalysis,2022/12/31
doi:10.1016/j.jiec.2017.06.016,Enhanced activity and stability of the monolithic Pt/SiO2–Al2O3 diesel oxidation catalyst promoted by suitable tungsten additive amount ,Journal of Industrial and Engineering Chemistry,2017/10/25
doi:10.1016/S1872-2067(16)62581-0,"Influence of sulfation on CeO2-ZrO2 catalysts for NO reduction with NH3
             ",Chinese Journal of Catalysis,2017/1/31
doi:10.1016/j.jcat.2012.04.014,"Autocatalytic synergism observed during lean-NO
                  x
                reduction with a bifunctional reductant over Ag/Al2O3 catalyst ",Journal of Catalysis,2012/8/31
doi:10.1016/j.apsusc.2018.06.216,"Catalytic conversion of NO assisted by plasma over Mn-Ce/ZSM5-multi-walled carbon nanotubes composites: Investigation of acidity, activity and stability of catalyst in the synergic system ",Applied Surface Science,2018/11/1
doi:10.1016/j.cattod.2020.05.061,Catalytic removal of NO and dioxins over W-Zr-Ox/Ti-Ce-Mn-Ox from flue gas: Performance and mechanism study ,Catalysis Today,2022/4/1
doi:10.1016/j.apcatb.2008.04.008,"Low temperature NO
                  x
                and N2O reduction by H2: Mechanism and development of new nano-catalysts ",Applied Catalysis B: Environmental,2008/12/1
doi:10.1016/j.apcatb.2004.09.022,"NO
                  x
                trapping and soot combustion on BaCoO3−y
                perovskite: LRS and FTIR characterization ",Applied Catalysis B: Environmental,2005/4/15
doi:10.1016/j.apcatb.2004.12.014,On the mechanism of selective catalytic reduction of NO by propylene over Cu-Al-MCM-41 ,Applied Catalysis B: Environmental,2005/8/8
doi:10.1016/j.cplett.2020.137494,"Reduced TiO2 inducing highly active V2O5 species for selective catalytic reduction of NO by NH3
             ",Chemical Physics Letters,2020/7/31
doi:10.1016/j.cattod.2021.05.007,Optimizing acid promoters of Ce-based NH3-SCR catalysts for reducing NOx emissions ,Catalysis Today,2021/12/15
doi:10.1016/j.fuel.2015.01.017,"SCR NO
                  x
                mechanistic study with a mixture of hydrocarbons representative of the exhaust gas from coal combustion over Rh/Ce0.62Zr0.38O2 catalyst ",Fuel,2015/6/15
doi:10.1016/j.cej.2017.09.179,Facile and fast synthesis of novel Mn2CoO4@rGO catalysts for the NH3-SCR of NOx at low temperature ,Chemical Engineering Journal,2018/2/1
doi:10.1016/j.cej.2004.05.014,Process optimization studies of structured Cu–ZSM-5 zeolite catalyst for the removal of NO using design of experiments (DOE) ,Chemical Engineering Journal,2004/10/15
doi:10.1016/j.apcatb.2014.11.004,"The role of ceria on the activity and SO2 resistance of catalysts for the selective catalytic reduction of NOx by NH3
             ",Applied Catalysis B: Environmental,2015/5/31
doi:10.1016/j.micromeso.2015.11.065,"High activity of mononuclear copper present in the framework of CuSiBEA zeolites in the selective catalytic reduction of NO with NH3
             ",Microporous and Mesoporous Materials,2016/5/15
doi:10.1016/j.jcat.2004.10.019,"N2O formation in the selective catalytic reduction of NO
                  x
                with NH3 at low temperature on CuO-supported monolithic catalysts ",Journal of Catalysis,2005/1/1
doi:10.1016/j.apcata.2014.01.007,Characterization of the mechanism of gasification of a powder river basin coal with a composite catalyst for producing desired syngases and liquids ,Applied Catalysis A: General,2014/4/5
doi:10.1016/j.jclepro.2021.129791,Integrated sol-gel and hydrothermal synthesis of V2O5–TiO2 nanocatalysts for enhanced catalytic removal of H2S ,Journal of Cleaner Production,2021/12/20
doi:10.1016/S0926-3373(00)00186-7,"Selective reduction of NO
                  x
                with hydrocarbons over Co/MFI prepared by sublimation of CoBr2 and other methods ",Applied Catalysis B: Environmental,2001/1/1
doi:10.1016/j.cej.2015.02.067,Increased NO2 concentration in the diesel engine exhaust for improved Ag/Al2O3 catalyst NH3-SCR activity ,Chemical Engineering Journal,2015/6/15
doi:10.1016/j.crcon.2021.07.002,"Comparative study of MCe0.75Zr0.25Oy (M = Cu, Mn, Fe) catalysts for selective reduction of NO by CO: Activity and reaction pathways ",Carbon Resources Conversion,2021/12/31
doi:10.1016/j.wasman.2022.07.015,"Separation of vanadium, tungsten and molybdenum from spent SCR catalysts solution by solvent extraction with primary amine N1923 ",Waste Management,2022/8/1
doi:10.1016/j.catcom.2006.08.013,Selective catalytic reduction of NO by propane in excess oxygen over IrCu-ZSM-5 catalyst ,Catalysis Communications,2007/3/31
doi:10.1016/j.apcata.2008.11.019,Power-bench demonstration of the Pt-catalysed C3H6-SCR of NOx in a diesel exhaust ,Applied Catalysis A: General,2009/2/15
doi:10.1016/j.biortech.2010.10.012,"A pilot study on the regeneration of ferrous chelate complex in NO
                  x
                scrubber solution by a biofilm electrode reactor ",Bioresource Technology,2011/2/28
doi:10.1016/j.apcatb.2022.121266,Na co-cations promoted stability and activity of Pd/SSZ-13 for low-temperature NO adsorption ,Applied Catalysis B: Environmental,2022/7/15
doi:10.1016/j.jece.2015.08.028,Selective catalytic reduction of nitric oxide over cerium-doped activated carbons ,Journal of Environmental Chemical Engineering,2015/12/31
doi:10.1016/j.cattod.2007.06.032,"Catalytic oxidation of nitrogen monoxide over La1−x
               Ce
                  x
               CoO3 perovskites ",Catalysis Today,2007/8/30
doi:10.1016/S0926-3373(03)00078-X,Mechanistic study on the SCR of NO by C3H6 over Pt/V/MCM-41 ,Applied Catalysis B: Environmental,2003/9/8
doi:10.1016/j.apcatb.2014.01.008,"Selective catalytic reaction of NO
                  x
                with NH3 over Ce–Fe/TiO2-loaded wire-mesh honeycomb: Resistance to SO2 poisoning ",Applied Catalysis B: Environmental,2014/5/5
doi:10.1016/j.jhazmat.2021.127556,Mercury/oxygen reaction mechanism over CuFe2O4 catalyst ,Journal of Hazardous Materials,2022/2/15
doi:10.1016/j.jcat.2019.07.035,Mechanistic insight into the methanol selective catalytic reduction of NO reaction over Cu-containing perovskites ,Journal of Catalysis,2019/9/30
doi:10.1016/j.molcata.2016.07.036,"Acidity-activity correlation over bimetallic iron-based ZSM-5 catalysts during selective catalytic reduction of NO by NH3
             ",Journal of Molecular Catalysis A: Chemical,2016/11/30
doi:10.1016/j.jece.2021.105152,NiMn2O4 sphere catalyst for the selective catalytic reduction of NO by NH3: Insight into the enhanced activity via solvothermal method ,Journal of Environmental Chemical Engineering,2021/4/30
doi:10.1016/j.cej.2016.07.040,Physically bound and chemically grafted activated carbon supported 1-hexyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide and 1-ethyl-3-methylimidazolium acetate ionic liquid absorbents for SO2/CO2 gas separation ,Chemical Engineering Journal,2016/12/15
doi:10.1016/j.apcatb.2015.08.023,"MnO
                  x
                supported on Fe–Ti spinel: A novel Mn based low temperature SCR catalyst with a high N2 selectivity ",Applied Catalysis B: Environmental,2016/2/29
doi:10.1016/j.cattod.2019.06.052,"New insights into the N2O formation mechanism during selective catalytic reduction of NO
                  x
                with NH3 over V-based catalyst ",Catalysis Today,2020/9/15
doi:10.1016/j.jcis.2021.12.008,Selective catalytic reductive removal of NOx with decreased interference from SO2 and H2O by use of Sm-modified SmxCo0.05-xCe0.05Ti0.9Oy catalysts ,Journal of Colloid and Interface Science,2022/4/30
doi:10.1016/S0016-2361(02)00141-2,NO reduction with H2 in the presence of excess O2 over Pd/MFI catalyst ,Fuel,2002/9/1
doi:10.1016/j.fuel.2019.115641,Immobilization of elemental mercury in non-ferrous metal smelting gas using ZnSe1−xSx nanoparticles ,Fuel,2019/10/15
doi:10.1016/j.apsusc.2018.10.081,Selective catalytic reduction of NOx with NH3 over MoO3/Mn-Zr composite oxide catalyst ,Applied Surface Science,2019/2/1
doi:10.1016/j.apcata.2004.12.012,Pillared clays as catalysts for hydrocracking of heavy liquid fuels ,Applied Catalysis A: General,2005/3/30
doi:10.1016/j.cej.2022.137414,LDH-derived preparation of CuMgFe layered double oxides for NH3-SCR and CO oxidation reactions: Performance study and synergistic mechanism ,Chemical Engineering Journal,2022/10/15
doi:10.1016/j.apcata.2019.117304,Co-doped LaAlO3 perovskite oxide for NOx-assisted soot oxidation ,Applied Catalysis A: General,2020/1/5
doi:10.1016/j.cej.2018.07.201,Montmorillonite based porous clay heterostructures modified with Fe as catalysts for selective catalytic reduction of NO with propylene ,Chemical Engineering Journal,2018/12/1
doi:10.1016/j.molcata.2015.04.014,Effect of oxygen pretreatment on the surface catalytic oxidation of HCHO on Ag/MCM-41 catalysts ,Journal of Molecular Catalysis A: Chemical,2015/8/31
doi:10.1016/j.fuel.2020.119133,Environmental-friendly production of FeNbTi catalyst with significant enhancement in SCR activity and SO2 resistance for NOx removal ,Fuel,2021/2/1
doi:10.1016/j.cej.2014.12.017,The influence of CO2 and H2O on selective catalytic reduction of NO by NH3 over Cu/SAPO-34 catalyst ,Chemical Engineering Journal,2015/3/15
doi:10.1016/j.cattod.2004.06.071,"Selective catalytic reduction of NO
                  x
                with C3H6 over an Ag/Al2O3 catalyst with a small quantity of noble metal ",Catalysis Today,2004/9/1
doi:10.1016/j.molcata.2015.08.029,"A study on chemisorbed oxygen and reaction process of Fe–CuO
                  x
               /ZSM-5 via ultrasonic impregnation method for low-temperature NH3-SCR ",Journal of Molecular Catalysis A: Chemical,2015/12/1
doi:10.1016/j.jhazmat.2014.10.010,"Size- and shape-controlled synthesis and catalytic performance of iron–aluminum mixed oxide nanoparticles for NO
                  X
                and SO2 removal with hydrogen peroxide ",Journal of Hazardous Materials,2015/2/11
doi:10.1016/j.cej.2018.01.031,The remarkable promotional effect of SO2 on Pb-poisoned V2O5-WO3/TiO2 catalysts: An in-depth experimental and theoretical study ,Chemical Engineering Journal,2018/4/15
doi:10.1016/j.cattod.2015.04.020,Soot and hydrocarbon oxidation over vanadia-based SCR catalysts ,Catalysis Today,2015/12/1
doi:10.1016/j.apcatb.2010.01.004,Characterization and catalytic activity of CuFeZSM-5 catalysts for oxidative degradation of Rhodamine 6G in aqueous solutions ,Applied Catalysis B: Environmental,2010/4/6
doi:10.1016/j.ijhydene.2022.04.195,Ni supported on natural clay of palygorskite as catalyst for dry reforming of methane: Thermodynamic analysis and impacts of preparation methods ,International Journal of Hydrogen Energy,2022/6/5
doi:10.1016/j.jiec.2020.11.002,Dispersion behavior of various single metals on carbonaceous coal supports and their reactivity in methanol steam reforming ,Journal of Industrial and Engineering Chemistry,2021/2/25
doi:10.1016/j.apcatb.2006.03.006,"Tungstated zirconia as promising carrier for DeNO
                  X
                catalysts with improved resistance towards alkali poisoning ",Applied Catalysis B: Environmental,2006/7/20
doi:10.1016/j.energy.2019.02.120,Comparative evaluation of performance and emissions of CNG engine for heavy-duty vehicles fueled with various caloric natural gases ,Energy,2019/5/1
doi:10.1016/j.apsusc.2019.03.263,Influence of calcination temperature on the catalytic properties of LaCu0.25Co0.75O3 catalysts in NOx reduction ,Applied Surface Science,2019/7/1
doi:10.1016/S1872-2067(17)62868-7,Support effect of the supported ceria-based catalysts during NH3-SCR reaction ,Chinese Journal of Catalysis,2017/8/31
doi:10.1016/j.solidstatesciences.2018.08.008,Selective catalytic reduction of nitric oxide with ammonia over Fe-Cu modified highly silicated zeolites ,Solid State Sciences,2018/10/31
doi:10.1016/S0926-3373(03)00020-1,Remarkable promoting effect of rhodium on the catalytic performance of Ag/Al2O3 for the selective reduction of NO with decane ,Applied Catalysis B: Environmental,2003/8/8
doi:10.1016/j.enconman.2009.01.016,Experimental research on catalytic decomposition of nitrous oxide on supported catalysts ,Energy Conversion and Management,2009/5/31
doi:10.1016/j.apsusc.2004.09.120,Characterization and catalytic activity of Cu–Co spinel thin films catalysts ,Applied Surface Science,2005/5/30
doi:10.1016/j.apcatb.2014.09.031,Fe/SSZ-13 as an NH3-SCR catalyst: A reaction kinetics and FTIR/Mössbauer spectroscopic study ,Applied Catalysis B: Environmental,2015/3/31
doi:10.1016/j.seppur.2021.119362,Effect of synergy between oxygen vacancies and graphene oxide on performance of TiO2 for photocatalytic NO removal under visible light ,Separation and Purification Technology,2021/12/1
doi:10.1016/j.catcom.2013.06.017,"Characterization of CeO2–WO3 catalysts prepared by different methods for selective catalytic reduction of NO
                  x
                with NH3
             ",Catalysis Communications,2013/10/5
doi:10.1016/j.apcata.2005.03.006,Selective catalytic oxidation (SCO) of ammonia to nitrogen over Fe/ZSM-5 catalysts ,Applied Catalysis A: General,2005/6/15
doi:10.1016/j.fuel.2021.120910,"Mechanism of N2O generation over chromium poisoned γ-Fe2O3 catalyst during selective catalytic reduction of NOx with NH3
             ",Fuel,2021/9/1
doi:10.1016/j.catcom.2017.02.016,Functional-membrane coated Mn-La-Ce-Ni-Ox catalysts for selective catalytic reduction NO by NH3 at low-temperature ,Catalysis Communications,2017/5/5
doi:10.1016/j.cej.2019.123473,Core-shell-like structured α-MnO2@CeO2 catalyst for selective catalytic reduction of NO: Promoted activity and SO2 tolerance ,Chemical Engineering Journal,2020/7/1
doi:10.1016/j.jes.2020.07.027,Improvement of the activity and SO2 tolerance of Sb-modified Mn/PG catalysts for NH3-SCR at a low temperature ,Journal of Environmental Sciences,2021/3/31
doi:10.1016/j.micromeso.2004.09.003,"Characterization of bimetallic Pd/Co-HMOR used for the CH4-SCR of NO
                  x
               
             ",Microporous and Mesoporous Materials,2005/1/26
doi:10.1016/j.cattod.2017.12.022,Formation of NO+ and its possible roles during the selective catalytic reduction of NOx with NH3 on Cu-CHA catalysts ,Catalysis Today,2019/1/15
doi:10.1016/S0926-3373(00)00263-0,"Effect of the addition of transition metals to Pt/Ba/Al2O3 catalyst on the NO
                  x
                storage-reduction catalysis under oxidizing conditions in the presence of SO2
             ",Applied Catalysis B: Environmental,2001/3/12
doi:10.1016/j.micromeso.2018.09.027,Ce doping to Cu-SAPO-18: Enhanced catalytic performance for the NH3-SCR of NO in simulated diesel exhaust ,Microporous and Mesoporous Materials,2019/3/1
doi:10.1016/j.apcata.2015.02.007,Influence of attrition milling on V/Ti catalysts for the selective oxidation of ammonia ,Applied Catalysis A: General,2015/9/25
doi:10.1016/j.apcata.2022.118872,"The influence of sodium on the catalytic properties, low-temperature hydrothermal stability, and sulfur resistance of Cu-SAPO-34 for NOx reduction by NH3-SCR ",Applied Catalysis A: General,2022/9/25
doi:10.1016/j.apcatb.2012.04.026,Selective catalytic reduction of NO on single site FeSiBEA zeolite catalyst: Influence of the C1 and C2 reducing agents on the catalytic properties ,Applied Catalysis B: Environmental,2012/7/23
doi:10.1016/j.catcom.2016.04.019,"Synergetic catalytic removal of Hg0 and NO over CeO2(ZrO2)/TiO2
             ",Catalysis Communications,2016/7/5
doi:10.1016/j.molcata.2004.02.031,Stabilization of nanosized titania-anatase for high temperature catalytic applications ,Journal of Molecular Catalysis A: Chemical,2004/12/1
doi:10.1016/j.catcom.2006.02.002,"Disparate effects of SO2 on the selective catalytic reduction of NO by C2H5OH and IPA over Ag/Al2O3
             ",Catalysis Communications,2006/9/30
doi:10.1016/j.proci.2020.06.040,"Interplay effect on simultaneous catalytic oxidation of NO
                  x
                and toluene over different crystal types of MnO2 catalysts ",Proceedings of the Combustion Institute,2021/12/31
doi:10.1016/j.colsurfa.2017.02.041,Facile synthesis silver nanoparticles on different xerogel supports as highly efficient catalysts for the reduction of p-nitrophenol ,Colloids and Surfaces A: Physicochemical and Engineering Aspects,2017/5/5
doi:10.1016/j.mcat.2020.111044,Investigation of SO2 and H2O poisoning over Cu-HPMo/TiO2 catalyst for Low temperature SCR: An experimental and DFT study ,Molecular Catalysis,2020/9/30
doi:10.1016/j.jre.2021.07.003,"Revealing active species of CePO4 catalyst for selective catalytic reduction of NO
                  x
                with NH3
             ",Journal of Rare Earths,2022/8/31
doi:10.1016/j.apcata.2018.03.028,Enhancement of the NH3-SCR catalytic activity of MnTiOx catalyst by the introduction of Sb ,Applied Catalysis A: General,2018/5/25
doi:10.1016/j.nanoen.2019.104253,Rapid gas-assisted exfoliation promises V2O5 nanosheets for high performance lithium-sulfur batteries ,Nano Energy,2020/1/31
doi:10.1016/j.micromeso.2010.12.029,The role of silver species on the hydrothermal stability of zeolite catalysts ,Microporous and Mesoporous Materials,2011/6/30
doi:10.1016/j.jiec.2015.04.023,"MoO3 modified CeO2/TiO2 catalyst prepared by a single step sol–gel method for selective catalytic reduction of NO with NH3
             ",Journal of Industrial and Engineering Chemistry,2015/9/25
doi:10.1016/S0021-9517(03)00028-9,Selective catalytic reduction of NO with NH3 over mesoporous V2O5–TiO2–SiO2 catalysts ,Journal of Catalysis,2003/7/1
doi:10.1016/j.fuel.2019.04.090,A new insight into catalytic role of copper sulfate on elemental mercury oxidation: DFT and experimental study ,Fuel,2019/9/15
doi:10.1016/S1381-1169(00)00335-6,"Vanadia–chromia grafted on titania: structural and catalytic properties in the selective catalytic reduction of NO by NH3
             ",Journal of Molecular Catalysis A: Chemical,2000/11/20
doi:10.1016/j.fuel.2022.123763,"Insights into co-doping effect of Sm and Fe on anti-Pb poisoning of Mn-Ce/AC catalyst for low-temperature SCR of NO with NH3
             ",Fuel,2022/7/1
doi:10.1016/j.apcata.2007.10.002,Zr/HZSM-5 catalyst for NO reduction by C2H2 in lean-burn conditions ,Applied Catalysis A: General,2008/1/1
doi:10.1016/j.mcat.2019.110703,NO reduction by CO over CoOx/CeO2 catalysts: Effect of support calcination temperature on activity ,Molecular Catalysis,2020/2/29
doi:10.1016/j.cattod.2017.11.019,High performance diesel oxidation catalysts using ultra-low Pt loading on titania nanowire array integrated cordierite honeycombs ,Catalysis Today,2019/1/15
doi:10.1016/j.ijhydene.2016.03.149,Direct synthesis of methyl formate from syngas on Cu–Mn mixed oxide catalyst ,International Journal of Hydrogen Energy,2016/6/8
doi:10.1016/j.cej.2022.136940,Design of structured reactor for biogas exhaust abatement ,Chemical Engineering Journal,2022/10/15
doi:10.1016/j.apcata.2009.03.031,"Steam resistant CoLa-mordenite catalysts for the SCR of NO
                  x
                with CH4
             ",Applied Catalysis A: General,2009/6/1
doi:10.1016/j.cattod.2015.01.010,Study on the hydrothermal and SO2 stability of Al2O3-supported manganese and iron oxide catalysts for lean CO oxidation ,Catalysis Today,2015/12/1
doi:10.1016/j.ces.2017.04.053,Catalytic deactivation mechanism research over Cu/SAPO-34 catalysts for NH3-SCR (II): The impact of copper loading ,Chemical Engineering Science,2017/8/31
doi:10.1016/j.jre.2021.07.004,"Influence of CePO4 with different crystalline phase on selective catalytic reduction of NO
                  x
                with ammonia ",Journal of Rare Earths,2022/8/31
doi:10.1016/j.jcis.2019.03.031,"Boosting the low-temperature activity and sulfur tolerance of CeZr2O
                  x
                catalysts by antimony addition for the selective catalytic reduction of NO with ammonia ",Journal of Colloid and Interface Science,2019/6/15
doi:10.1016/j.ijheatfluidflow.2022.108970,Numerical simulation of the evaporation process of pinned urea-water droplets in cavities ,International Journal of Heat and Fluid Flow,2022/6/30
doi:10.1016/j.cej.2020.127554,"Rational design of novel CrZrO
                  x
                catalysts for efficient low temperature SCR of NO
                  x
               
             ",Chemical Engineering Journal,2021/6/1
